SC NETWORK_ID LAT LON
26 WIS0279 41.06310560000001 28.860677799999998
26 WIS0281 40.98083889 28.77987222
26 WIS0344 41.106444399999994 28.860138899999995
26 WIS0829 41.01421111 28.83199722
26 WIS1485 41.03888889 28.81083333
27 WED0069 41.3878111 26.800161100000004
27 WED2005 41.6789444 26.571361100000004
27 WIS1000 40.98044444 28.72252778
27 WIS1688 41.06005 28.835597200000002
28 WED2005 41.6789444 26.571361100000004
28 WIB9023 41.00502222 28.81192222
28 WIS0242 40.97745 28.72016667
28 WIS0281 40.98083889 28.77987222
29 WED2005 41.6789444 26.571361100000004
29 WIB0672 41.0960278 28.860972200000003
29 WIB9023 41.00502222 28.81192222
29 WIS1153 41.04255556 28.81463889
29 WIS5196 40.99504444 28.70698889
30 WED2250 41.674780600000005 26.571119399999997
30 WIS1763 40.99458333 28.84716111
31 WED2250 41.674780600000005 26.571119399999997
31 WIS0206 41.0073 28.83310278
31 WIS1683 40.96219444 28.84133889
31 WIS1688 41.06005 28.835597200000002
32 WED2250 41.674780600000005 26.571119399999997
32 WIS0239 41.05308889 28.79303333
32 WIS0310 40.98743889 28.77168056
32 WIS0473 40.97838611 28.70861389
32 WIS1010 40.9596 28.82446111
32 WIS5345 41.0965556 28.869638899999998
33 WED2253 41.677136100000006 26.5473333
33 WIB0013 41.00685833 28.85668333
33 WIS0237 41.06041667 28.78772778
33 WIS0473 40.97838611 28.70861389
33 WIS5168 41.102366700000005 28.862755600000003
33 WIS5427 41.10629167 28.78728333
34 WED2253 41.677136100000006 26.5473333
34 WIS0310 40.98743889 28.77168056
34 WIS1653 41.03411111 28.82675
34 WIS1805 40.97861111 28.70602778
34 WIS5484 41.1030833 28.855944399999995
34 WIS5525 41.069413899999994 28.857213899999998
35 WED0069 41.3878111 26.800161100000004
35 WED2253 41.677136100000006 26.5473333
35 WIB0124 41.02961667 28.68331111
35 WIB9177 40.99304722 28.85316389
35 WIS0762 40.96223056 28.82544722
35 WIS5168 41.102366700000005 28.862755600000003
36 WED0019 41.254375 26.684619399999995
36 WED2254 41.6667333 26.5768778
